age,job,marital,education,default,balance,housing,loan,duration,campaign,pdays,previous,poutcome,deposit
59,admin.,married,secondary,no,2343,yes,no,1042,1,-1,0,unknown,yes
56,admin.,married,secondary,no,45,no,no,1467,1,-1,0,unknown,yes
41,technician,married,secondary,no,1270,yes,no,1389,1,-1,0,unknown,yes
55,services,married,secondary,no,2476,yes,no,579,1,-1,0,unknown,yes
54,admin.,married,tertiary,no,184,no,no,673,2,-1,0,unknown,yes
42,management,single,tertiary,no,0,yes,yes,562,2,-1,0,unknown,yes
56,management,married,tertiary,no,830,yes,yes,1201,1,-1,0,unknown,yes
60,retired,divorced,secondary,no,545,yes,no,1030,1,-1,0,unknown,yes
37,technician,married,secondary,no,1,yes,no,608,1,-1,0,unknown,yes
28,services,single,secondary,no,5090,yes,no,1297,3,-1,0,unknown,yes
38,admin.,single,secondary,no,100,yes,no,786,1,-1,0,unknown,yes
30,blue-collar,married,secondary,no,309,yes,no,1574,2,-1,0,unknown,yes
29,management,married,tertiary,no,199,yes,yes,1689,4,-1,0,unknown,yes
46,blue-collar,single,tertiary,no,460,yes,no,1102,2,-1,0,unknown,yes
31,technician,single,tertiary,no,703,yes,no,943,2,-1,0,unknown,yes
35,management,divorced,tertiary,no,3837,yes,no,1084,1,-1,0,unknown,yes
32,blue-collar,single,primary,no,611,yes,no,541,3,-1,0,unknown,yes
49,services,married,secondary,no,-8,yes,no,1119,1,-1,0,unknown,yes
41,admin.,married,secondary,no,55,yes,no,1120,2,-1,0,unknown,yes
49,admin.,divorced,secondary,no,168,yes,yes,513,1,-1,0,unknown,yes
28,admin.,divorced,secondary,no,785,yes,no,442,2,-1,0,unknown,yes
43,management,single,tertiary,no,2067,yes,no,756,1,-1,0,unknown,yes
43,management,divorced,tertiary,no,388,yes,no,2087,2,-1,0,unknown,yes
43,blue-collar,married,primary,no,-192,yes,no,1120,2,-1,0,unknown,yes
37,unemployed,single,secondary,no,381,yes,no,985,2,-1,0,unknown,yes
35,blue-collar,single,secondary,no,40,yes,no,617,4,-1,0,unknown,yes
31,technician,single,tertiary,no,22,yes,no,483,3,-1,0,unknown,yes
43,blue-collar,single,secondary,no,3,yes,no,929,3,-1,0,unknown,yes
31,admin.,married,secondary,no,307,yes,no,538,1,-1,0,unknown,yes
28,blue-collar,single,secondary,no,759,yes,no,710,1,-1,0,unknown,yes
32,blue-collar,married,secondary,yes,-1,yes,no,653,1,-1,0,unknown,yes
60,technician,married,primary,no,65,yes,no,1028,2,-1,0,unknown,yes
26,blue-collar,single,secondary,no,82,yes,no,654,1,-1,0,unknown,yes
40,blue-collar,married,secondary,no,10,yes,no,1692,2,-1,0,unknown,yes
33,blue-collar,divorced,primary,no,390,yes,no,665,2,-1,0,unknown,yes
32,management,single,tertiary,no,311,no,no,757,2,-1,0,unknown,yes
35,blue-collar,married,primary,no,414,no,no,504,4,-1,0,unknown,yes
33,management,divorced,secondary,no,5,yes,no,1346,1,-1,0,unknown,yes
38,management,married,tertiary,no,119,yes,no,568,4,-1,0,unknown,yes
23,entrepreneur,single,primary,no,4,yes,no,395,2,-1,0,unknown,yes
60,blue-collar,married,primary,no,1262,yes,yes,1015,1,-1,0,unknown,yes
48,management,married,tertiary,no,1949,yes,no,683,2,-1,0,unknown,yes
45,entrepreneur,divorced,tertiary,no,-395,yes,no,470,1,-1,0,unknown,yes
36,blue-collar,married,secondary,no,1165,yes,no,1001,4,-1,0,unknown,yes
52,management,married,unknown,no,2240,yes,no,845,1,-1,0,unknown,yes
35,blue-collar,divorced,primary,no,300,yes,no,945,2,-1,0,unknown,yes
43,technician,married,secondary,no,3285,yes,no,1721,2,-1,0,unknown,yes
